site_number,year,site_address,local_site_name,count,min_av,max_av,average_av,med_av,min_mx,max_mx,average_mx,med_mx
0002,2017,2105 BROADWAY,DENVER - CAMP,1460,6.67e-4,0.057,0.02790592191780822,0.03025,0.002,0.088,0.04098698630136986,0.042
0002,2017,8100 S. UNIVERSITY BLVD,HIGHLAND RESERVOIR,1476,0.001588,0.063235,0.037823457994579944,0.039438,0.004,0.093,0.049037262872628724,0.049
0002,2018,2105 BROADWAY,DENVER - CAMP,1455,3.53e-4,0.06,0.028252291408934708,0.028059,0.001,0.092,0.0414446735395189,0.041
0002,2018,8100 S. UNIVERSITY BLVD,HIGHLAND RESERVOIR,1442,0.0031,0.074667,0.03813543619972261,0.0382635,0.009,0.108,0.04932732316227462,0.049
0002,2019,2105 BROADWAY,DENVER - CAMP,1450,0.001833,0.054882,0.027432380689655173,0.029020999999999998,0.003,0.09,0.04049448275862069,0.041
0002,2019,8100 S. UNIVERSITY BLVD,HIGHLAND RESERVOIR,1446,0.007529,0.062588,0.03729636030428769,0.0380295,0.009,0.093,0.0480643153526971,0.048
0002,2020,2105 BROADWAY,DENVER - CAMP,1425,0.001792,0.064529,0.029167697543859648,0.030792,0.005,0.095,0.041389473684210525,0.042
0002,2020,8100 S. UNIVERSITY BLVD,HIGHLAND RESERVOIR,1463,0.005412,0.076294,0.039267421052631576,0.040375,0.016,0.097,0.049090225563909774,0.049
0002,2021,2105 BROADWAY,DENVER - CAMP,1448,6.47e-4,0.065059,0.02981809185082873,0.029323500000000002,0.002,0.091,0.04252002762430939,0.041
0002,2021,8100 S. UNIVERSITY BLVD,HIGHLAND RESERVOIR,1442,0.004412,0.073176,0.04054811511789182,0.040042,0.01,0.1,0.05102773925104022,0.049
0004,2017,11500 N. Roxborough Park Rd.,Chatfield State Park,1475,0.001588,0.062353,0.03785445694915254,0.039958,0.005,0.1,0.05050372881355932,0.05
0004,2018,11500 N. Roxborough Park Rd.,Chatfield State Park,1437,0.0015,0.070294,0.0383391301322199,0.038333,0.002,0.103,0.05082533054975644,0.049
0004,2019,11500 N. Roxborough Park Rd.,Chatfield State Park,1439,0.006647,0.062667,0.03678632939541348,0.037647,0.008,0.103,0.04890340514246004,0.049
0004,2020,11500 N. Roxborough Park Rd.,Chatfield State Park,1450,0.006294,0.073167,0.03850006827586207,0.039875,0.016,0.103,0.04982758620689655,0.05
0004,2021,11500 N. Roxborough Park Rd.,Chatfield State Park,1422,0.003625,0.075353,0.03949205063291139,0.039104,0.008,0.106,0.051669479606188465,0.05
0005,2017,12400 W. HWY 285,WELCH,1382,0,0.064588,0.037348665701881334,0.039765,0,0.094,0.048623010130246024,0.049
0005,2018,12400 W. HWY 285,WELCH,1071,0.004042,0.061824,0.03321303174603175,0.033588,0.006,0.082,0.0429327731092437,0.042
0005,2019,12400 W. HWY 285,WELCH,1448,0.005118,0.060412,0.036256526933701655,0.037583,0.006,0.096,0.046876381215469616,0.047
0005,2020,12400 W. HWY 285,WELCH,1459,0.006353,0.073294,0.037207322138450995,0.038083,0.016,0.095,0.04682864976010966,0.046
0006,2017,16600 W COLO #128,ROCKY FLATS-N,1473,0.005353,0.069176,0.04276404548540394,0.044583,0.01,0.093,0.05173455532926002,0.051
0006,2017,36001 E. Quincy Ave.,Aurora East,1476,0.007353,0.062917,0.04062505894308943,0.041667,0.01,0.096,0.049790650406504065,0.05
0006,2018,16600 W COLO #128,ROCKY FLATS-N,1436,0.009167,0.073471,0.04312066225626741,0.043625,0.012,0.104,0.05193314763231198,0.05
0006,2018,36001 E. Quincy Ave.,Aurora East,1436,0.007824,0.065941,0.04059856058495822,0.040271,0.016,0.08,0.04977367688022284,0.049
0006,2019,16600 W COLO #128,ROCKY FLATS-N,1449,0.007647,0.064765,0.04150195445134575,0.042792,0.009,0.086,0.05000759144237405,0.049
0006,2019,36001 E. Quincy Ave.,Aurora East,1421,0.010941,0.060706,0.04080267206192822,0.041583,0.015,0.078,0.04990781140042224,0.05
0006,2020,16600 W COLO #128,ROCKY FLATS-N,1432,0.011176,0.080353,0.04355913547486034,0.043479,0.017,0.094,0.051435055865921786,0.05
0006,2020,36001 E. Quincy Ave.,Aurora East,1434,0.014235,0.070824,0.040077135983263595,0.041083,0.02,0.098,0.04843723849372385,0.049
0006,2021,16600 W COLO #128,ROCKY FLATS-N,1460,0.007458,0.081059,0.04498069315068493,0.0448975,0.013,0.1,0.053249315068493154,0.05
0006,2021,36001 E. Quincy Ave.,Aurora East,1460,0.007,0.071,0.042037582191780824,0.0412125,0.014,0.093,0.05116164383561644,0.05
0011,2017,2054 QUAKER ST.,NATIONAL RENEWABLE ENERGY LABS - NREL,1369,0.001882,0.064353,0.040009133674214756,0.042417,0.005,0.101,0.05004017531044558,0.049
0011,2018,2054 QUAKER ST.,NATIONAL RENEWABLE ENERGY LABS - NREL,1443,0.005125,0.0762,0.04048520651420651,0.041333,0.01,0.096,0.05064656964656965,0.049
0011,2019,2054 QUAKER ST.,NATIONAL RENEWABLE ENERGY LABS - NREL,1432,0.005588,0.065353,0.03997522625698324,0.041292,0.009,0.09,0.049900837988826816,0.049
0011,2020,2054 QUAKER ST.,NATIONAL RENEWABLE ENERGY LABS - NREL,1459,0.008882,0.079059,0.041787354352296094,0.042,0.017,0.101,0.05110486634681288,0.048
0011,2021,2054 QUAKER ST.,NATIONAL RENEWABLE ENERGY LABS - NREL,1460,0.005,0.082059000000000007,0.04381253561643836,0.043833,0.011,0.112,0.05343904109589041,0.05
0013,2017,26137 Conifer Road,Aspen Park,1463,0.005706,0.061412,0.0405416992481203,0.041375,0.014,0.098,0.048869446343130556,0.049
0013,2018,26137 Conifer Road,Aspen Park,1438,0.004,0.065412,0.04037472878998609,0.040828500000000004,0.004,0.092,0.0483191933240612,0.048
0013,2019,26137 Conifer Road,Aspen Park,1024,0.012706,0.05575,0.0414075263671875,0.042581,0.016,0.086,0.0493974609375,0.049
0014,2020,5124 South Hatch Drive,Evergreen,339,0.010529,0.062917,0.030770380530973453,0.030706,0.014,0.079,0.03782300884955752,0.037
0014,2021,5124 South Hatch Drive,Evergreen,1358,0.005,0.072471,0.03879071944035346,0.039053,0.005,0.101,0.05004786450662739,0.049
0026,2017,4545 Navajo St.,La Casa,1470,0.001,0.055647,0.027377651020408164,0.029657,0.001,0.088,0.042562585034013604,0.045
0026,2018,4545 Navajo St.,La Casa,1419,0,0.058143,0.028297986610288935,0.0285,0,0.089,0.04355109231853418,0.044
0026,2019,4545 Navajo St.,La Casa,1394,0,0.056647,0.027265695839311335,0.029271,0,0.092,0.04204088952654232,0.044
0026,2020,4545 Navajo St.,La Casa,1336,9.57e-4,0.063647,0.028462650449101796,0.0294665,0.004,0.102,0.04384131736526946,0.044
0026,2021,4545 Navajo St.,La Casa,1426,2.94e-4,0.0832,0.031225528050490885,0.031342999999999996,0.001,0.098,0.04791234221598878,0.047
3001,2017,3174 E. 78TH AVE.,Welby,1422,0,0.053824,0.02667751898734177,0.028,0,0.085,0.043160337552742616,0.044
3001,2018,3174 E. 78TH AVE.,Welby,1416,0,0.055353,0.02673636581920904,0.027083,0,0.081,0.042584745762711866,0.042
3001,2019,3174 E. 78TH AVE.,Welby,1412,0,0.048294,0.02521544759206799,0.027068000000000002,0,0.077,0.04039022662889519,0.042
3001,2020,3174 E. 78TH AVE.,Welby,1458,0.001,0.059471,0.02853121330589849,0.029833,0.003,0.1,0.04513374485596708,0.045
3001,2021,3174 E. 78TH AVE.,Welby,1343,0,0.063583,0.030203037974683544,0.031,0,0.094,0.046845867460908415,0.046
